palabra;prefijo
http://es-la.dbpedia.org/resource;resource
http://www.w3.org/1999/02/22-rdf-;tipo
http://dbpedia.org/ontology/;ontologia
http://www.ontologydesignpatterns.org/ont/d0.owl;Locacion
http://schema.org/;esquema
http://www.ontologydesignpatterns;s
http://dbpedia.org/ontology/Popul;Popul
http://www.w3.org/2000/01/rdf-sch;sche
http://dbpedia.org/ontology/wikiP;wikiP
http://www.w3.org/ns/prov#wasDeri;wasDeri
http://www.ontologydesignpatterns;ontu
http://dbpedia.org/ontology/Count;Count
http://dbpedia.org/ontology/Popul;Popul
